block,name,name_eng
belyj_blok,Бакиров Игорь,Bakirov Igor'
belyj_blok,Блиндул Алексей,Blindul Aleksej
belyj_blok,Щербаков Александр,Scherbakov Aleksandr
blok_evrosocialistov,Лоскутов Артем,Loskutov Artem
blok_evrosocialistov,Пряников Павел,Prjanikov Pavel
blok_evrosocialistov,Смирнов Сергей,Smirnov Sergej
blok_nacionalistov,Барабаш Кирилл,Barabash Kirill
blok_nacionalistov,Брусиловский Максим,Brusilovskij Maksim
blok_nacionalistov,Будникова Софья,Budnikova Sof'ja
blok_nacionalistov,Глускин Владимир,Gluskin Vladimir
blok_nacionalistov,Крюков Василий,Krjukov Vasilij
blok_nacionalistov,Кузнецов Андрей,Kuznecov Andrej
blok_nacionalistov,Лазуренко Северский,Lazurenko Severskij
blok_nacionalistov,Матвеев Михаил,Matveev Mihail
blok_nacionalistov,Мицкевич Владислав,Mickevich Vladislav
blok_nacionalistov,Поляков Анатолий,Poljakov Anatolij
blok_nacionalistov,Поткин Басманов,Potkin Basmanov
blok_nacionalistov,Прохоров Шинфейн,Prohorov Shinfejn
blok_nacionalistov,Радченко Всеволод,Radchenko Vsevolod
blok_nacionalistov,Спорыхина Ульяна,Sporyhina Ul'jana
blok_nacionalistov,Сухоруков Дмитрий,Suhorukov Dmitrij
blok_nacionalistov,Холмогорова Наталия,Holmogorova Natalija
blok_nacionalistov,Чернов Дмитрий,Chernov Dmitrij
blok_nacionalistov,Шалимова Надежда,Shalimova Nadezhda
blok_prosto_ura_i_larisa,Богомолов Юрий,Bogomolov Jurij
blok_prosto_ura_i_larisa,Петречук Лариса,Petrechuk Larisa
grazhdanskaya_platforma,Адагамов Рустем,Adagamov Rustem
grazhdanskaya_platforma,Быков Дмитрий,Bykov Dmitrij
grazhdanskaya_platforma,Гельфанд Михаил,Gel'fand Mihail
grazhdanskaya_platforma,Дзядко Филипп,Dzjadko Filipp
grazhdanskaya_platforma,Лазарева Татьяна,Lazareva Tat'jana
grazhdanskaya_platforma,Мирзоев Владимир,Mirzoev Vladimir
grazhdanskaya_platforma,Пархоменко Сергей,Parhomenko Sergej
grazhdanskaya_platforma,Русакова Елена,Rusakova Elena
grazhdanskaya_platforma,Собчак Ксения,Sobchak Ksenija
grazhdanskaya_platforma,Улицкая Людмила,Ulickaja Ljudmila
grazhdanskaya_platforma,Шац Михаил,Shac Mihail
grazhdanskaya_platforma,Ясина Ирина,Jasina Irina
nauchnoobrazovatelnyj_blok,Будрайтскис Илья,Budrajtskis Il'ja
nauchnoobrazovatelnyj_blok,Волкова Елена,Volkova Elena
