name,score
Давидис Сергей Константинович,1188
Сангаев Игорь Вячеславович,753
Крюков Василий Анатольевич,265
Радченко Всеволод Валерьевич,215
Козырев Олег Вилисович,1360
Левченко Екатерина Валентиновна,459
Поткин (Белов) Александр Анатольевич,440
Андреянов Сергей Николаевич,221
Немцов Борис Ефимович,1371
Бондарик Николай Николаевич,584
Овдиенко Игорь Геннадьевич,501
Барабаш Кирилл Владимирович,132
Доброхотов Роман Александрович,1330
Путенихин Дмитрий Викторович (Матвей Крылов),577
Прибыловский Владимир Валерианович,242
Шулипа Юрий Юрьевич,224
Кац Максим Евгеньевич,1296
Головин Дмитрий Александрович,505
Щербаков Александр Вениаминович,427
Пряников Павел Николаевич,408
Чирикова Евгения Сергеевна,1385
Пушкарева Наталья Александровна,644
Доможиров Евгений Валерьевич,365
Будрайтскис Илья Борисович,265
Кашин Олег Владимирович,1532
Аникин Сергей Владимирович,422
Блиндул Алексей Валерьевич,267
Каржаева Неонила Васильевна,217
Билунов Денис Борисович,1003
Шнейдер Михаил Яковлевич,565
Верзилов Петр Юрьевич,445
Мальцева Анастасия Анатольевна (Анастасия Хрустальная),425
Илларионов Андрей Николаевич,1544
Демидов Михаил Александрович,505
Будникова Софья Владимировна,303
Русакова Елена Леонидовна,1192
Шалимов Роман Николаевич,542
Давыденко Денис Вячеславович,307
Мирзоев Владимир Владимирович,908
Гаврилов Андрей Игоревич,568
Лоскутов Артем Александрович,481
Улицкая Людмила Евгеньевна,454
Иванов Дмитрий Сергеевич (kamikadze_d),913
Баронова Мария Николаевна,811
Митюшкина Надежда Львовна,305
Беляев Николай Александрович,62
Албуров Георгий Валентинович,1601
Чупров Алексей Геннадьевич,534
Развозжаев Леонид Михайлович,127
Глускин Владимир Александрович,82
Гонгальский Максим Брониславович,1184
Кузнецов Андрей Владимирович,299
Демушкин Дмитрий Николаевич,244
Артёмов Игорь Владимирович,234
Отставных Валерий Владимирович,633
Волкова Елена Ивановна,596
Каретникова Анна Георгиевна,566
Ясина Ирина Евгеньевна,394
Тютрин Иван Иванович,887
Романова Ольга Евгеньевна,796
Агишев Ирек Абдулхакович,406
Шатов Станислав Николаевич,131
Собчак Ксения Анатольевна,1098
Царьков Пётр Анатольевич,611
Гуляев Сергей Владимирович,495
Колганов Антон Юрьевич,117
Дергачев Вадим Александрович,797
Колчинцев Вадим Валерьевич,761
Эсауленко Дмитрий Николаевич,220
Удальцова Анастасия Олеговна,169
Янкаускас Константин Стасисович,1418
Некрасов Дмитрий Александрович,887
Завесов Александр Львович,272
Терегулов Артур Ринатович,88
Магкоева Белла (Изабель) Казбековна,959
Кузин Евгений Андреевич,891
Шаргунов Сергей Александрович,650
Баласанов Андрей Евгеньевич,122
Каспаров Гарри Кимович,1134
Чернышева Наталья Юрьевна,1059
Долгих Антон Витальевич,326
Бадыкова Фиалка Ахмадеевна,255
Горник Александр Львович,1058
Богомолов Юрий Александрович,995
Павлов Владимир Георгиевич,230
Панибратченко Андрей Валерьевич,61
Беззуб Алексей Юрьевич,1061
Жиляев Арсений Александрович,480
Готсданкер Алексей Сергеевич,434
Поткин (Басманов) Владимир Анатольевич,331
Аншаков Михаил Геннадьевич,1141
Дегтярь Иван Васильевич,626
Гребнева Ирина Георгиевна,376
Литвинов Георгий Александрович (Артём Драгунов),118
Ашурков Владимир Львович,1952
Осенин Владимир Олегович,397
Сухоруков Дмитрий Владимирович,134
Николаев Александр Александрович,67
Газарян Сурен Владимирович,1181
Резчиков (Абанин) Алексей Романович,583
Гарначук Владимир Федорович,485
Городенцев Андрей Геннадьевич,35
Ляскин Николай Николаевич,1071
Лукьянова Елена Анатольевна,1017
Студенова (Пелевина) Наталья Владиславовна,744
Сайдашев Радик Ромович,521
Яшин Илья Валерьевич,1918
Быстров Андрей Сергеевич,1051
Поляков Анатолий Викторович,385
Ольшанский Леонид Дмитриевич,261
Наганов Владислав Игоревич,1971
Виноградов Сергей Николаевич,612
Вистицкий Михаил Михайлович,469
Печенев Александр Сергеевич,275
Соболь Любовь Эдуардовна,2198
Семенов Владимир Матвеевич,690
Шальнев Андрей Сергеевич,482
Витухновская Алина Александровна,205
Навальный Алексей Анатольевич,2639
Бурашников Дмитрий Андреевич,792
Мокшанов Александр Александрович,296
Шелков Павел Николаевич,215
Пионтковский Андрей Андреевич,1712
Савостин Михаил Олегович,617
Холмогорова Наталия Леонидовна,594
Кавказский Николай Юрьевич,410
Дзядко Филипп Викторович,1885
Малышев Владимир Эдуардович,860
Тюрин Андрей Владимирович,292
Первушин Александр Сергеевич,268
Матвеев Михаил Николаевич,908
Лурье Олег Анатольевич,880
Лавров Андрей Валерьевич,724
Рыклин Александр Юрьевич,574
Лазарева Татьяна Юрьевна,1266
Санников Максим Андреевич,1137
