name,debates
Аверьянов Иван,346
Агишев Ирек,406
Албуров Георгий,1601
Александрова-Зорина Елизавета,359
Аншаков Михаил,1141
Ашурков Владимир,1952
Бабченко Аркадий,793
Бадыкова Фиалка,255
Бакиров Игорь,204
Баласанов Андрей,122
Барабаш Кирилл,132
Баронова Мария,811
Беззуб Алексей,1061
Безруких Олег,752
Бескоровайный Алексей,1169
Билунов Денис,1003
Блиндул Алексей,267
Богомолов Юрий,995
Брусиловский Максим,530
Будникова Софья,303
Бурашников Дмитрий,792
Быстров Андрей,1051
Васильева Елена,882
Верзилов Петр,445
Виноградов Сергей,612
Винокуров Александр,1077
Вистицкий Михаил,469
Витухновская Алина,205
Власов Сергей,0
Волкова Елена,596
Гаврилов Андрей,568
Газарян Сурен,1181
Галямина Юлия,962
Гарначук Владимир,485
Гельфанд Михаил,1059
Глускин Владимир,82
Головин Дмитрий,505
Гонгальский Максим,1184
Горник Александр,1058
Гребнева Ирина,376
Гудков Дмитрий,1238
Гуляев Сергей,495
Давыденко Денис,307
Давыдов Андрей,331
Дегтярь Иван,626
Демидов Михаил,505
Дергачев Вадим,797
Дзядко Филипп,1885
Доброхотов Роман,1330
Доможиров Евгений,365
Езеев Федор,1184
Жиляев Арсений,480
Зорин Константин,270
Иванов Андрей,301
Илларионов Андрей,1544
Кара-Мурза Владимир,1018
Каржаева Неонила,217
Каспаров Гарри,1134
Кац Максим,1296
Кашин Олег,1532
Козырев Олег,1360
Колганов Антон,117
Колесников Сергей,615
Колчинцев Вадим,761
Колюцкий Григорий,762
Коровин Вадим,1042
Крашенинников Федор,1194
Крылов Олег,285
Крюков Василий,174
Кузин Евгений,891
Кузнецов Андрей,299
Курамшин Владимир,547
Лавров Андрей,724
Лазарева Татьяна,1266
Лазуренко Северский,789
Левченко Екатерина,459
Левшиц Николай,608
Литвинов Георгий,118
Лоскутов Артем,481
Лукьянова Елена,1017
Магкоева Белла,959
Малышев Владимир,860
Мальцева Анастасия,425
Марянин Игорь,390
Матвеев Михаил,908
Мирзоев Владимир,908
Митюшкина Надежда,305
Мокшанов Александр,296
Моша Юрий,434
Мухин Юрий,211
Мыльникова Марина,213
Навальный Алексей,2639
Наганов Владислав,1971
Надеев Анджей,0
Некрасов Дмитрий,887
Немцов Борис,1371
Ободина Стелла,224
Образцова Алиса,346
Овдиенко Игорь,464
Ольшанский Леонид,261
Осенин Владимир,397
Отставных Валерий,633
Панибратченко Андрей,61
Пархоменко Сергей,923
Первушин Александр,268
Петречук Лариса,227
Пионтковский Андрей,1712
Поляков Анатолий,385
Пономарев Илья,692
Поткин Басманов,331
Пряников Павел,408
Путенихин Дмитрий,577
Пушкарева Наталья,644
Радостева Наталья,774
Ренёв Денис,553
Романовский Владимир,247
Русакова Елена,1192
Савостин Михаил,617
Сайдашев Радик,521
Самсонов Артём,341
Сангаев Игорь,753
Семенов Владимир,690
Семенов Игорь,457
Скалаух Иван,1242
Смирнов Сергей,484
Соболь Любовь,2198
Собчак Ксения,1098
Спорыхина Ульяна,339
Стефанов Борис,271
Сухарева Татьяна,258
Сухоруков Дмитрий,134
Терегулов Артур,88
Удальцова Анастасия,169
Холмогорова Наталия,594
Чернышева Наталья,1059
Чупров Алексей,534
Шатов Станислав,131
Шац Михаил,1485
Шнейдер Михаил,565
Шулипа Юрий,224
Щербаков Александр,427
Эсауленко Дмитрий,220
Янкаускас Константин,1418
Яшин Ясин,514
Яшин Илья,1918
Аитова Екатерина,0
Андреянов Сергей,221
Волкова Александра,788
Гаскаров Алексей,603
Кавказский Николай,410
Николаев Александр,67
Палчаев Аким,136
Печенев Александр,275
Развозжаев Леонид,127
Рафаилов Георгий,304
Санников Максим,1137
Сахнин Алексей,509
Шалимов Роман,542
Давидис Сергей,1188
Долгих Антон,326
Завесов Александр,272
Залесский Александр,572
Каретникова Анна,566
Пивоваров Андрей,1280
Рыклин Александр,574
Тютрин Иван,887
Царьков Пётр,611
Шальнев Андрей,482
Шелков Павел,215
Артёмов Игорь,234
Воробьев Станислав,72
Демушкин Дмитрий,244
Дровецкий Василий,330
Константинов Даниил,610
Крылов Константин,812
Поткин Белов,440
Радченко Всеволод,215
Резчиков Абанин,583
Тюрин Андрей,292
