Source Target Weight Type
138 142 6 undirected
28 142 3.83772233983162 undirected
28 138 3.6833752096446 undirected
139 160 3.53589838486225 undirected
58 61 3.39444872453601 undirected
16 108 3.12701665379258 undirected
65 153 3.12701665379258 undirected
75 118 3.12701665379258 undirected
82 163 3.12701665379258 undirected
61 140 3 undirected
6 152 2.87689437438234 undirected
114 139 2.87689437438234 undirected
35 139 2.75735931288072 undirected
35 160 2.75735931288072 undirected
9 73 2.64110105645933 undirected
11 87 2.64110105645933 undirected
12 76 2.64110105645933 undirected
73 122 2.64110105645933 undirected
116 144 2.64110105645933 undirected
168 170 2.64110105645933 undirected
61 76 2.52786404500042 undirected
76 83 2.52786404500042 undirected
18 139 2.41742430504416 undirected
21 72 2.41742430504416 undirected
21 139 2.41742430504416 undirected
28 116 2.41742430504416 undirected
39 61 2.41742430504416 undirected
40 137 2.41742430504416 undirected
49 56 2.41742430504416 undirected
49 140 2.41742430504416 undirected
63 130 2.41742430504416 undirected
112 135 2.41742430504416 undirected
142 143 2.41742430504416 undirected
170 171 2.41742430504416 undirected
12 119 2.30958424017657 undirected
30 47 2.30958424017657 undirected
31 65 2.30958424017657 undirected
35 140 2.30958424017657 undirected
35 153 2.30958424017657 undirected
39 58 2.30958424017657 undirected
52 69 2.30958424017657 undirected
75 95 2.30958424017657 undirected
75 136 2.30958424017657 undirected
138 143 2.30958424017657 undirected
158 159 2.30958424017657 undirected
4 11 2.20416847668728 undirected
18 35 2.20416847668728 undirected
25 58 2.20416847668728 undirected
54 58 2.20416847668728 undirected
58 158 2.20416847668728 undirected
61 152 2.20416847668728 undirected
72 114 2.20416847668728 undirected
90 167 2.20416847668728 undirected
114 153 2.20416847668728 undirected
130 167 2.20416847668728 undirected
139 152 2.20416847668728 undirected
16 127 2.10102051443364 undirected
21 114 2.10102051443364 undirected
31 152 2.10102051443364 undirected
33 47 2.10102051443364 undirected
39 93 2.10102051443364 undirected
47 54 2.10102051443364 undirected
47 61 2.10102051443364 undirected
47 156 2.10102051443364 undirected
61 86 2.10102051443364 undirected
67 163 2.10102051443364 undirected
68 77 2.10102051443364 undirected
73 135 2.10102051443364 undirected
97 161 2.10102051443364 undirected
139 153 2.10102051443364 undirected
142 147 2.10102051443364 undirected
11 141 2 undirected
16 84 2 undirected
18 56 2 undirected
21 38 2 undirected
30 122 2 undirected
31 153 2 undirected
39 140 2 undirected
42 107 2 undirected
65 73 2 undirected
73 75 2 undirected
73 95 2 undirected
114 160 2 undirected
116 142 2 undirected
143 147 2 undirected
152 160 2 undirected
12 75 1.90098048640722 undirected
22 152 1.90098048640722 undirected
25 35 1.90098048640722 undirected
31 58 1.90098048640722 undirected
33 92 1.90098048640722 undirected
38 159 1.90098048640722 undirected
43 73 1.90098048640722 undirected
46 155 1.90098048640722 undirected
54 61 1.90098048640722 undirected
61 139 1.90098048640722 undirected
72 153 1.90098048640722 undirected
72 158 1.90098048640722 undirected
73 153 1.90098048640722 undirected
74 119 1.90098048640722 undirected
76 86 1.90098048640722 undirected
84 112 1.90098048640722 undirected
93 152 1.90098048640722 undirected
95 122 1.90098048640722 undirected
112 121 1.90098048640722 undirected
116 138 1.90098048640722 undirected
118 139 1.90098048640722 undirected
135 156 1.90098048640722 undirected
153 160 1.90098048640722 undirected
162 167 1.90098048640722 undirected
3 89 1.80384757729337 undirected
6 31 1.80384757729337 undirected
7 152 1.80384757729337 undirected
15 73 1.80384757729337 undirected
16 49 1.80384757729337 undirected
18 153 1.80384757729337 undirected
30 136 1.80384757729337 undirected
31 131 1.80384757729337 undirected
35 114 1.80384757729337 undirected
42 75 1.80384757729337 undirected
47 58 1.80384757729337 undirected
47 112 1.80384757729337 undirected
54 152 1.80384757729337 undirected
61 93 1.80384757729337 undirected
67 82 1.80384757729337 undirected
75 76 1.80384757729337 undirected
76 136 1.80384757729337 undirected
92 122 1.80384757729337 undirected
95 139 1.80384757729337 undirected
111 136 1.80384757729337 undirected
118 136 1.80384757729337 undirected
130 144 1.80384757729337 undirected
138 147 1.80384757729337 undirected
3 114 1.70849737787082 undirected
9 65 1.70849737787082 undirected
10 139 1.70849737787082 undirected
12 107 1.70849737787082 undirected
12 136 1.70849737787082 undirected
16 76 1.70849737787082 undirected
28 148 1.70849737787082 undirected
30 139 1.70849737787082 undirected
35 61 1.70849737787082 undirected
42 118 1.70849737787082 undirected
58 152 1.70849737787082 undirected
65 93 1.70849737787082 undirected
72 139 1.70849737787082 undirected
72 159 1.70849737787082 undirected
72 161 1.70849737787082 undirected
73 160 1.70849737787082 undirected
74 75 1.70849737787082 undirected
84 152 1.70849737787082 undirected
85 153 1.70849737787082 undirected
101 112 1.70849737787082 undirected
112 152 1.70849737787082 undirected
128 146 1.70849737787082 undirected
137 149 1.70849737787082 undirected
139 140 1.70849737787082 undirected
140 153 1.70849737787082 undirected
168 171 1.70849737787082 undirected
6 59 1.6148351928655 undirected
7 71 1.6148351928655 undirected
12 16 1.6148351928655 undirected
12 139 1.6148351928655 undirected
18 140 1.6148351928655 undirected
31 61 1.6148351928655 undirected
31 72 1.6148351928655 undirected
31 73 1.6148351928655 undirected
33 58 1.6148351928655 undirected
42 136 1.6148351928655 undirected
56 152 1.6148351928655 undirected
57 100 1.6148351928655 undirected
58 86 1.6148351928655 undirected
64 89 1.6148351928655 undirected
65 72 1.6148351928655 undirected
71 139 1.6148351928655 undirected
75 139 1.6148351928655 undirected
75 160 1.6148351928655 undirected
79 140 1.6148351928655 undirected
95 118 1.6148351928655 undirected
101 155 1.6148351928655 undirected
