Id,Label,Curia,GovControl,Naz,Agress,Social,Decentr,Compass,Debates
1,Аверьянов Иван,common,0.75,1.75,-0.285714285714286,1.25,0,14,346
2,Агишев Ирек,common,0.5,-0.75,1.28571428571429,0.75,1.25,0,406
3,Албуров Георгий,common,-1.5,-0.25,0.428571428571429,-1.25,1,84,1601
4,Александрова-Зорина Елизавета,common,2.5,1.5,0.571428571428571,2,2,3,359
5,Аншаков Михаил,common,0,-0.75,0.142857142857143,0.25,1,71,1141
6,Ашурков Владимир,common,-2,-1,0.142857142857143,-1.25,0.5,97,1952
7,Бабченко Аркадий,common,-1,-0.5,0.857142857142857,0.25,0.75,117,793
8,Бадыкова Фиалка,common,1.5,0.75,1,1.25,2,17,255
9,Бакиров Игорь,common,-1.75,0.25,0.571428571428571,0.5,1.5,33,204
10,Баласанов Андрей,common,-1.75,-1,0.285714285714286,0.5,2,12,122
11,Барабаш Кирилл,common,2.5,1.5,0.142857142857143,1.75,0.75,12,132
12,Баронова Мария,common,-0.75,-0.75,0.285714285714286,1,1.75,42,811
13,Беззуб Алексей,common,-1.75,-0.5,0.285714285714286,-0.25,1.25,54,1061
14,Безруких Олег,common,-0.75,-0.75,0.571428571428571,-0.5,1.75,33,752
15,Бескоровайный Алексей,common,-1.5,-0.5,0.571428571428571,1,1.75,42,1169
16,Билунов Денис,common,-0.75,-0.5,1.28571428571429,0.5,1.5,68,1003
17,Блиндул Алексей,common,1.5,1,0.142857142857143,0.75,1.75,21,267
18,Богомолов Юрий,common,-2,-0.25,1.14285714285714,0,1.5,36,995
19,Брусиловский Максим,common,0.25,0.75,0.285714285714286,0.25,-0.25,41,530
20,Будникова Софья,common,1.25,1.75,1.28571428571429,1.25,-0.25,8,303
21,Бурашников Дмитрий,common,-0.5,0.5,0.285714285714286,0.25,0.25,65,792
22,Быстров Андрей,common,-1.75,0,0.428571428571429,-0.75,1.5,78,1051
23,Васильева Елена,common,-2.25,-0.25,0.428571428571429,-0.25,1.75,35,882
24,Верзилов Петр,common,0,-1.25,0.285714285714286,1.5,1.75,18,445
25,Виноградов Сергей,common,-0.25,1,1.14285714285714,-0.5,0,17,612
26,Винокуров Александр,common,-1.75,-1.5,0.285714285714286,-0.75,2,16,1077
27,Вистицкий Михаил,common,-0.75,0.75,1.85714285714286,0.5,2,20,469
28,Витухновская Алина,common,-2.25,0.25,1.57142857142857,1.25,1,7,205
29,Власов Сергей,common,-1.5,0.25,-0.285714285714286,-0.25,-0.5,27,0
30,Волкова Елена,common,1,-0.75,0.285714285714286,2,1.25,0,596
31,Гаврилов Андрей,common,-2.25,0,-0.571428571428571,-0.25,0.25,39,568
32,Газарян Сурен,common,-1.25,-1.25,-0.714285714285714,0,1.25,110,1181
33,Галямина Юлия,common,-1.75,-0.75,0.142857142857143,-1.25,1.75,46,962
34,Гарначук Владимир,common,-1.75,-0.75,0.142857142857143,-1,0.75,97,485
35,Гельфанд Михаил,common,-2.25,-1.5,-0.285714285714286,-1,0.75,84,1059
