Group size: 17933                                                  Group size: 63757
[0.985910] Аверьянов Иван Александрович                            [0.683313] Навальный Алексей Анатольевич
[0.980108] Барабаш Кирилл Владимирович                             [0.600220] Быков Дмитрий Львович
[0.980099] Аитова Екатерина Петровна                               [0.528320] Каспаров Гарри Кимович
[0.979946] Дегтярь Иван Васильевич                                 [0.508243] Яшин Илья Валерьевич
[0.979789] Скалаух Иван Сергеевич                                  [0.505597] Собчак Ксения Анатольевна
[0.979167] Аникин Сергей Владимирович                              [0.503074] Чирикова Евгения Сергеевна
[0.978055] Виноградов Сергей Николаевич                            [0.473897] Шац Михаил Григорьевич
[0.976435] Волкова Елена Ивановна                                  [0.449767] Ашурков Владимир Львович
[0.975708] Бадыкова Фиалка Ахмадеевна                              [0.449209] Гудков Дмитрий Геннадьевич
[0.974734] Гаскаров Алексей Владимирович                           [0.444850] Лазарева Татьяна Юрьевна
[0.974212] Вистицкий Михаил Михайлович                             [0.429366] Пархоменко Сергей Борисович
[0.973393] Лавров Андрей Валерьевич                                [0.424538] Дзядко Филипп Викторович
[0.973176] Городенцев Андрей Геннадьевич                           [0.421902] Гудков Геннадий Владимирович
[0.973093] Николаев Александр Александрович                        [0.394786] Соболь Любовь Эдуардовна
[0.973025] Агишев Ирек Абдулхакович                                [0.385120] Немцов Борис Ефимович
[0.971776] Василенко Павел Владимирович                            [0.384636] Давидис Сергей Константинович
[0.971111] Бондарик Николай Николаевич                             [0.371739] Гельфанд Михаил Сергеевич
[0.970635] Колчинцев Вадим Валерьевич                              [0.364819] Романова Ольга Евгеньевна
[0.970410] Демидов Михаил Александрович                            [0.352090] Кашин Олег Владимирович
[0.969816] Гельфанд Михаил Сергеевич                               [0.351099] Илларионов Андрей Николаевич
[0.968401] Курамшин Владимир Вячеславович                          [0.334519] Удальцов Сергей Станиславович
[0.968298] Артёмов Игорь Владимирович                              [0.326034] Кара-Мурза Владимир Владимирович
[0.968066] Бурашников Дмитрий Андреевич                            [0.324624] Адагамов Рустем Ринатович
[0.967175] Рафаилов Георгий Георгиевич                             [0.320221] Пивоваров Андрей Сергеевич
[0.965790] Палчаев Аким Нажмудинович                               [0.317888] Винокуров Александр Иванович
[0.965225] Левченко Екатерина Валентиновна                         [0.308893] Кац Максим Евгеньевич
[0.959200] Кудрявцев Федор Александрович                           [0.296864] Газарян Сурен Владимирович
[0.957627] Спорыхина Ульяна Викторовна                             [0.294747] Албуров Георгий Валентинович
[0.956627] Сайдашев Радик Ромович                                  [0.280497] Долгих Антон Витальевич
[0.956162] Давыденко Денис Вячеславович                            [0.276113] Пионтковский Андрей Андреевич
[0.956142] Пряников Павел Николаевич                               [0.253082] Каретникова Анна Георгиевна
[0.955070] Чернышева Наталья Юрьевна                               [0.250373] Мирзоев Владимир Владимирович
[0.954597] Студенова (Пелевина) Наталья Владиславовна              [0.246079] Царьков Пётр Анатольевич
[0.950509] Константинов Даниил Ильич                               [0.245803] Крылов Константин Анатольевич
[0.949139] Крюков Василий Анатольевич                              [0.245559] Шеин Олег Васильевич
[0.949087] Поляков Анатолий Викторович                             [0.243285] Наганов Владислав Игоревич
[0.948605] Шатов Станислав Николаевич                              [0.226787] Рыклин Александр Юрьевич
[0.948064] Сухарева Татьяна Викторовна                             [0.225868] Тютрин Иван Иванович
[0.389747] Долгих Антон Витальевич                                 [0.224802] Гаскаров Алексей Владимирович
[0.378000] Завесов Александр Львович                               [0.223027] Аитова Екатерина Петровна
[0.361803] Каретникова Анна Георгиевна                             [0.209315] Аншаков Михаил Геннадьевич
[0.357680] Шелков Павел Николаевич                                 [0.207995] Константинов Даниил Ильич
[0.335340] Пивоваров Андрей Сергеевич                              [0.203642] Баронова Мария Николаевна
[0.327486] Давидис Сергей Константинович                           [0.199752] Развозжаев Леонид Михайлович
[0.293479] Залесский Александр Валерьевич                          [0.195774] Бабченко Аркадий Аркадьевич
[0.255980] Шальнев Андрей Сергеевич                                [0.195304] Власов Сергей Игоревич
[0.239267] Царьков Пётр Анатольевич                                [0.183938] Езеев Федор Андреевич
[0.204224] Тютрин Иван Иванович                                    [0.183246] Завесов Александр Львович
[0.158409] Рыклин Александр Юрьевич                                [0.180908] Пономарев Илья Владимирович
[0.029439] Тюрин Андрей Владимирович                               [0.179096] Шелков Павел Николаевич
[0.020021] Давыдов Андрей Владимирович                             [0.173533] Ольшанский Леонид Дмитриевич
[0.019875] Крылов Константин Анатольевич                           [0.172015] Лурье Олег Анатольевич
[0.019468] Демушкин Дмитрий Николаевич                             [0.170308] Санников Максим Андреевич
[0.017786] Шац Михаил Григорьевич                                  [0.169740] Козырев Олег Вилисович
[0.017295] Резчиков (Абанин) Алексей Романович                     [0.167264] Иванов Дмитрий Сергеевич (kamikadze_d)
[0.017281] Лазарева Татьяна Юрьевна                                [0.164767] Кралин Владлен Леонидович (Владимир Тор)
[0.016986] Колесников Вадим Владимирович                           [0.163889] Крашенинников Федор Геннадиевич
[0.014947] Радченко Всеволод Валерьевич                            [0.162368] Колесников Сергей Владимирович
[0.013992] Собчак Ксения Анатольевна                               [0.156847] Коровин Вадим Александрович
[0.013815] Васильева Елена Борисовна                               [0.154763] Волкова Александра Ивановна (Женя Отто)
[0.011775] Дровецкий Василий Валерьевич                            [0.149020] Доброхотов Роман Александрович
[0.011266] Быков Дмитрий Львович                                   [0.139626] Артёмов Игорь Владимирович
[0.007807] Кралин Владлен Леонидович (Владимир Тор)                [0.135694] Шальнев Андрей Сергеевич
[0.007249] Воробьев Станислав Анатольевич                          [0.135468] Ляскин Николай Николаевич
[0.006888] Пушкарева Наталья Александровна                         [0.134841] Билунов Денис Борисович
