Group size: 17730                                                  Group size: 20940                                                  Group size: 43021
[0.987958] Аверьянов Иван Александрович                            [0.381117] Навальный Алексей Анатольевич                           [0.827181] Навальный Алексей Анатольевич
[0.986881] Дегтярь Иван Васильевич                                 [0.256575] Быков Дмитрий Львович                                   [0.764753] Быков Дмитрий Львович
[0.985453] Скалаух Иван Сергеевич                                  [0.239559] Бондарик Николай Николаевич                             [0.704145] Каспаров Гарри Кимович
[0.983457] Барабаш Кирилл Владимирович                             [0.226431] Аитова Екатерина Петровна                               [0.675294] Яшин Илья Валерьевич
[0.982091] Виноградов Сергей Николаевич                            [0.218698] Собчак Ксения Анатольевна                               [0.659330] Чирикова Евгения Сергеевна
[0.981462] Аитова Екатерина Петровна                               [0.197837] Шац Михаил Григорьевич                                  [0.643034] Собчак Ксения Анатольевна
[0.981380] Аникин Сергей Владимирович                              [0.184363] Лазарева Татьяна Юрьевна                                [0.606074] Шац Михаил Григорьевич
[0.981248] Лавров Андрей Валерьевич                                [0.180141] Артёмов Игорь Владимирович                              [0.606025] Ашурков Владимир Львович
[0.980985] Волкова Елена Ивановна                                  [0.177157] Чирикова Евгения Сергеевна                              [0.595619] Гудков Дмитрий Геннадьевич
[0.980262] Городенцев Андрей Геннадьевич                           [0.164933] Константинов Даниил Ильич                               [0.591591] Пархоменко Сергей Борисович
[0.979852] Бадыкова Фиалка Ахмадеевна                              [0.162057] Каспаров Гарри Кимович                                  [0.584995] Дзядко Филипп Викторович
[0.979082] Вистицкий Михаил Михайлович                             [0.160141] Яшин Илья Валерьевич                                    [0.569712] Лазарева Татьяна Юрьевна
[0.978699] Колчинцев Вадим Валерьевич                              [0.145156] Гаскаров Алексей Владимирович                           [0.559672] Гудков Геннадий Владимирович
[0.977634] Демидов Михаил Александрович                            [0.144067] Гудков Дмитрий Геннадьевич                              [0.543398] Соболь Любовь Эдуардовна
[0.976731] Курамшин Владимир Вячеславович                          [0.134875] Николаев Александр Александрович                        [0.519298] Немцов Борис Ефимович
[0.976616] Агишев Ирек Абдулхакович                                [0.134802] Гудков Геннадий Владимирович                            [0.518081] Давидис Сергей Константинович
[0.976387] Гаскаров Алексей Владимирович                           [0.124981] Аверьянов Иван Александрович                            [0.504421] Романова Ольга Евгеньевна
[0.976076] Василенко Павел Владимирович                            [0.124380] Ашурков Владимир Львович                                [0.504244] Гельфанд Михаил Сергеевич
[0.975510] Гельфанд Михаил Сергеевич                               [0.117087] Пивоваров Андрей Сергеевич                              [0.481294] Илларионов Андрей Николаевич
[0.974968] Николаев Александр Александрович                        [0.115817] Скалаух Иван Сергеевич                                  [0.476531] Кашин Олег Владимирович
[0.974222] Левченко Екатерина Валентиновна                         [0.113733] Удальцов Сергей Станиславович                           [0.459846] Кара-Мурза Владимир Владимирович
[0.972867] Бурашников Дмитрий Андреевич                            [0.112682] Долгих Антон Витальевич                                 [0.443073] Винокуров Александр Иванович
[0.972717] Бондарик Николай Николаевич                             [0.109362] Давидис Сергей Константинович                           [0.440394] Удальцов Сергей Станиславович
[0.969846] Рафаилов Георгий Георгиевич                             [0.105697] Немцов Борис Ефимович                                   [0.432377] Адагамов Рустем Ринатович
[0.969545] Артёмов Игорь Владимирович                              [0.105028] Кац Максим Евгеньевич                                   [0.418946] Пивоваров Андрей Сергеевич
[0.967969] Кудрявцев Федор Александрович                           [0.100505] Гельфанд Михаил Сергеевич                               [0.418461] Газарян Сурен Владимирович
[0.967957] Палчаев Аким Нажмудинович                               [0.100138] Адагамов Рустем Ринатович                               [0.416218] Албуров Георгий Валентинович
[0.966455] Спорыхина Ульяна Викторовна                             [0.092996] Кашин Олег Владимирович                                 [0.406675] Кац Максим Евгеньевич
[0.965706] Сайдашев Радик Ромович                                  [0.091860] Пархоменко Сергей Борисович                             [0.388554] Пионтковский Андрей Андреевич
[0.965170] Пряников Павел Николаевич                               [0.090789] Дзядко Филипп Викторович                                [0.362371] Долгих Антон Витальевич
[0.964577] Давыденко Денис Вячеславович                            [0.090629] Палчаев Аким Нажмудинович                               [0.356148] Мирзоев Владимир Владимирович
[0.963219] Студенова (Пелевина) Наталья Владиславовна              [0.089692] Крылов Константин Анатольевич                           [0.334672] Каретникова Анна Георгиевна
[0.961268] Чернышева Наталья Юрьевна                               [0.087843] Рафаилов Георгий Георгиевич                             [0.334643] Царьков Пётр Анатольевич
[0.958152] Поляков Анатолий Викторович                             [0.085800] Соболь Любовь Эдуардовна                                [0.329677] Наганов Владислав Игоревич
[0.957993] Крюков Василий Анатольевич                              [0.085520] Каретникова Анна Георгиевна                             [0.323608] Шеин Олег Васильевич
[0.955896] Сухарева Татьяна Викторовна                             [0.082863] Шеин Олег Васильевич                                    [0.320651] Крылов Константин Анатольевич
[0.954989] Шатов Станислав Николаевич                              [0.082653] Шелков Павел Николаевич                                 [0.311162] Рыклин Александр Юрьевич
[0.952214] Константинов Даниил Ильич                               [0.082051] Завесов Александр Львович                               [0.307143] Тютрин Иван Иванович
[0.390533] Долгих Антон Витальевич                                 [0.080203] Илларионов Андрей Николаевич                            [0.292627] Аншаков Михаил Геннадьевич
[0.379433] Завесов Александр Львович                               [0.075485] Демушкин Дмитрий Николаевич                             [0.284095] Баронова Мария Николаевна
[0.362972] Каретникова Анна Георгиевна                             [0.074477] Романова Ольга Евгеньевна                               [0.278716] Развозжаев Леонид Михайлович
[0.358602] Шелков Павел Николаевич                                 [0.064959] Шальнев Андрей Сергеевич                                [0.277879] Власов Сергей Игоревич
[0.335871] Пивоваров Андрей Сергеевич                              [0.063425] Наганов Владислав Игоревич                              [0.268181] Бабченко Аркадий Аркадьевич
[0.328139] Давидис Сергей Константинович                           [0.063138] Царьков Пётр Анатольевич                                [0.266439] Гаскаров Алексей Владимирович
[0.294761] Залесский Александр Валерьевич                          [0.061402] Барабаш Кирилл Владимирович                             [0.257826] Езеев Федор Андреевич
[0.256815] Шальнев Андрей Сергеевич                                [0.058556] Пономарев Илья Владимирович                             [0.246341] Козырев Олег Вилисович
[0.240350] Царьков Пётр Анатольевич                                [0.057881] Тютрин Иван Иванович                                    [0.241971] Лурье Олег Анатольевич
[0.205162] Тютрин Иван Иванович                                    [0.057664] Винокуров Александр Иванович                            [0.239626] Пономарев Илья Владимирович
[0.158828] Рыклин Александр Юрьевич                                [0.056888] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.237669] Санников Максим Андреевич
[0.029523] Тюрин Андрей Владимирович                               [0.055653] Волкова Александра Ивановна (Женя Отто)                 [0.236831] Ольшанский Леонид Дмитриевич
[0.020038] Крылов Константин Анатольевич                           [0.054638] Залесский Александр Валерьевич                          [0.233862] Крашенинников Федор Геннадиевич
[0.019830] Давыдов Андрей Владимирович                             [0.053289] Аникин Сергей Владимирович                              [0.232833] Завесов Александр Львович
[0.019550] Демушкин Дмитрий Николаевич                             [0.052420] Рыклин Александр Юрьевич                                [0.232634] Колесников Сергей Владимирович
[0.017862] Шац Михаил Григорьевич                                  [0.050495] Бурашников Дмитрий Андреевич                            [0.231769] Константинов Даниил Ильич
[0.017356] Резчиков (Абанин) Алексей Романович                     [0.049149] Некрасов Дмитрий Александрович                          [0.226504] Шелков Павел Николаевич
[0.017042] Лазарева Татьяна Юрьевна                                [0.048117] Агишев Ирек Абдулхакович                                [0.225099] Коровин Вадим Александрович
[0.016952] Колесников Вадим Владимирович                           [0.047932] Кара-Мурза Владимир Владимирович                        [0.224394] Аитова Екатерина Петровна
[0.015020] Радченко Всеволод Валерьевич                            [0.047400] Кралин Владлен Леонидович (Владимир Тор)                [0.221121] Кралин Владлен Леонидович (Владимир Тор)
