Group size: 16616                                                  Group size: 17681                                                  Group size: 18817                                                  Group size: 28577
[0.674813] Навальный Алексей Анатольевич                           [0.988385] Аверьянов Иван Александрович                            [0.353855] Навальный Алексей Анатольевич                           [0.899394] Навальный Алексей Анатольевич
[0.528879] Быков Дмитрий Львович                                   [0.987409] Дегтярь Иван Васильевич                                 [0.248437] Бондарик Николай Николаевич                             [0.878796] Быков Дмитрий Львович
[0.496649] Каспаров Гарри Кимович                                  [0.986032] Скалаух Иван Сергеевич                                  [0.236018] Аитова Екатерина Петровна                               [0.796761] Каспаров Гарри Кимович
[0.490680] Ашурков Владимир Львович                                [0.983952] Барабаш Кирилл Владимирович                             [0.233056] Быков Дмитрий Львович                                   [0.790632] Яшин Илья Валерьевич
[0.463207] Чирикова Евгения Сергеевна                              [0.982739] Виноградов Сергей Николаевич                            [0.199278] Собчак Ксения Анатольевна                               [0.765006] Собчак Ксения Анатольевна
[0.454781] Пивоваров Андрей Сергеевич                              [0.982314] Лавров Андрей Валерьевич                                [0.177912] Шац Михаил Григорьевич                                  [0.752689] Чирикова Евгения Сергеевна
[0.454401] Крылов Константин Анатольевич                           [0.981750] Аникин Сергей Владимирович                              [0.176847] Артёмов Игорь Владимирович                              [0.722574] Пархоменко Сергей Борисович
[0.454397] Давидис Сергей Константинович                           [0.981695] Волкова Елена Ивановна                                  [0.163988] Лазарева Татьяна Юрьевна                                [0.714131] Шац Михаил Григорьевич
[0.440828] Соболь Любовь Эдуардовна                                [0.981654] Аитова Екатерина Петровна                               [0.157647] Константинов Даниил Ильич                               [0.700350] Дзядко Филипп Викторович
[0.433852] Яшин Илья Валерьевич                                    [0.980922] Городенцев Андрей Геннадьевич                           [0.152957] Чирикова Евгения Сергеевна                              [0.679044] Гудков Дмитрий Геннадьевич
[0.423571] Долгих Антон Витальевич                                 [0.980421] Бадыкова Фиалка Ахмадеевна                              [0.148238] Гаскаров Алексей Владимирович                           [0.663476] Лазарева Татьяна Юрьевна
[0.410699] Гудков Дмитрий Геннадьевич                              [0.980027] Вистицкий Михаил Михайлович                             [0.142032] Каспаров Гарри Кимович                                  [0.645410] Ашурков Владимир Львович
[0.399690] Собчак Ксения Анатольевна                               [0.979733] Колчинцев Вадим Валерьевич                              [0.138480] Яшин Илья Валерьевич                                    [0.637985] Гудков Геннадий Владимирович
[0.389483] Шац Михаил Григорьевич                                  [0.978420] Демидов Михаил Александрович                            [0.136537] Николаев Александр Александрович                        [0.635492] Немцов Борис Ефимович
[0.388888] Гудков Геннадий Владимирович                            [0.977424] Агишев Ирек Абдулхакович                                [0.128789] Аверьянов Иван Александрович                            [0.625531] Романова Ольга Евгеньевна
[0.386920] Каретникова Анна Георгиевна                             [0.977352] Курамшин Владимир Вячеславович                          [0.128409] Гудков Дмитрий Геннадьевич                              [0.577147] Соболь Любовь Эдуардовна
[0.385123] Удальцов Сергей Станиславович                           [0.976752] Василенко Павел Владимирович                            [0.123597] Скалаух Иван Сергеевич                                  [0.556308] Гельфанд Михаил Сергеевич
[0.381446] Лазарева Татьяна Юрьевна                                [0.976580] Гаскаров Алексей Владимирович                           [0.117440] Гудков Геннадий Владимирович                            [0.555513] Илларионов Андрей Николаевич
[0.375258] Гельфанд Михаил Сергеевич                               [0.976151] Гельфанд Михаил Сергеевич                               [0.112699] Пивоваров Андрей Сергеевич                              [0.546722] Кара-Мурза Владимир Владимирович
[0.369400] Винокуров Александр Иванович                            [0.975295] Левченко Екатерина Валентиновна                         [0.111967] Долгих Антон Витальевич                                 [0.540945] Кашин Олег Владимирович
[0.366869] Царьков Пётр Анатольевич                                [0.975293] Николаев Александр Александрович                        [0.110759] Ашурков Владимир Львович                                [0.525605] Давидис Сергей Константинович
[0.356169] Константинов Даниил Ильич                               [0.973490] Бурашников Дмитрий Андреевич                            [0.107638] Давидис Сергей Константинович                           [0.514284] Адагамов Рустем Ринатович
[0.348202] Аитова Екатерина Петровна                               [0.973040] Бондарик Николай Николаевич                             [0.097350] Удальцов Сергей Станиславович                           [0.467607] Кац Максим Евгеньевич
[0.339603] Шелков Павел Николаевич                                 [0.970609] Рафаилов Георгий Георгиевич                             [0.095299] Кац Максим Евгеньевич                                   [0.462265] Винокуров Александр Иванович
[0.339059] Албуров Георгий Валентинович                            [0.969835] Артёмов Игорь Владимирович                              [0.095058] Палчаев Аким Нажмудинович                               [0.458583] Удальцов Сергей Станиславович
[0.337176] Кашин Олег Владимирович                                 [0.968974] Кудрявцев Федор Александрович                           [0.093680] Немцов Борис Ефимович                                   [0.451283] Газарян Сурен Владимирович
[0.336188] Дзядко Филипп Викторович                                [0.968273] Палчаев Аким Нажмудинович                               [0.091766] Рафаилов Георгий Георгиевич                             [0.438298] Албуров Георгий Валентинович
[0.332918] Бабченко Аркадий Аркадьевич                             [0.967970] Спорыхина Ульяна Викторовна                             [0.090398] Гельфанд Михаил Сергеевич                               [0.431453] Пионтковский Андрей Андреевич
[0.324109] Гаскаров Алексей Владимирович                           [0.967387] Сайдашев Радик Ромович                                  [0.086606] Адагамов Рустем Ринатович                               [0.418561] Мирзоев Владимир Владимирович
[0.322189] Газарян Сурен Владимирович                              [0.966742] Пряников Павел Николаевич                               [0.083957] Каретникова Анна Георгиевна                             [0.378535] Пивоваров Андрей Сергеевич
[0.316337] Пархоменко Сергей Борисович                             [0.965504] Давыденко Денис Вячеславович                            [0.082398] Завесов Александр Львович                               [0.344253] Наганов Владислав Игоревич
[0.314085] Санников Максим Андреевич                               [0.965214] Студенова (Пелевина) Наталья Владиславовна              [0.078344] Пархоменко Сергей Борисович                             [0.337105] Рыклин Александр Юрьевич
[0.313840] Власов Сергей Игоревич                                  [0.962448] Чернышева Наталья Юрьевна                               [0.078336] Дзядко Филипп Викторович                                [0.321997] Шеин Олег Васильевич
[0.313359] Илларионов Андрей Николаевич                            [0.959886] Поляков Анатолий Викторович                             [0.078234] Шелков Павел Николаевич                                 [0.308851] Долгих Антон Витальевич
[0.311262] Шеин Олег Васильевич                                    [0.959576] Крюков Василий Анатольевич                              [0.073842] Кашин Олег Владимирович                                 [0.304817] Тютрин Иван Иванович
[0.309320] Аншаков Михаил Геннадьевич                              [0.957413] Сухарева Татьяна Викторовна                             [0.072825] Крылов Константин Анатольевич                           [0.297201] Царьков Пётр Анатольевич
[0.296348] Волкова Александра Ивановна (Женя Отто)                 [0.956203] Шатов Станислав Николаевич                              [0.072446] Соболь Любовь Эдуардовна                                [0.286973] Каретникова Анна Георгиевна
[0.294702] Кралин Владлен Леонидович (Владимир Тор)                [0.952691] Константинов Даниил Ильич                               [0.069420] Илларионов Андрей Николаевич                            [0.283434] Козырев Олег Вилисович
[0.282533] Наганов Владислав Игоревич                              [0.390379] Долгих Антон Витальевич                                 [0.068266] Шеин Олег Васильевич                                    [0.271738] Баронова Мария Николаевна
[0.281082] Тютрин Иван Иванович                                    [0.379104] Завесов Александр Львович                               [0.062421] Шальнев Андрей Сергеевич                                [0.268881] Развозжаев Леонид Михайлович
[0.280037] Баронова Мария Николаевна                               [0.362792] Каретникова Анна Георгиевна                             [0.061823] Романова Ольга Евгеньевна                               [0.268460] Аншаков Михаил Геннадьевич
[0.278910] Немцов Борис Ефимович                                   [0.358226] Шелков Павел Николаевич                                 [0.060753] Царьков Пётр Анатольевич                                [0.253376] Пономарев Илья Владимирович
[0.278145] Пионтковский Андрей Андреевич                           [0.335705] Пивоваров Андрей Сергеевич                              [0.060203] Демушкин Дмитрий Николаевич                             [0.244108] Езеев Федор Андреевич
[0.273299] Кац Максим Евгеньевич                                   [0.328059] Давидис Сергей Константинович                           [0.056018] Тютрин Иван Иванович                                    [0.242693] Власов Сергей Игоревич
[0.269377] Развозжаев Леонид Михайлович                            [0.294992] Залесский Александр Валерьевич                          [0.052758] Аникин Сергей Владимирович                              [0.241877] Лурье Олег Анатольевич
[0.266295] Кара-Мурза Владимир Владимирович                        [0.256733] Шальнев Андрей Сергеевич                                [0.052739] Залесский Александр Валерьевич                          [0.239236] Доброхотов Роман Александрович
[0.263312] Адагамов Рустем Ринатович                               [0.240259] Царьков Пётр Анатольевич                                [0.052241] Некрасов Дмитрий Александрович                          [0.237549] Ольшанский Леонид Дмитриевич
[0.262822] Завесов Александр Львович                               [0.205184] Тютрин Иван Иванович                                    [0.052074] Наганов Владислав Игоревич                              [0.236603] Крылов Константин Анатольевич
[0.259989] Коровин Вадим Александрович                             [0.158644] Рыклин Александр Юрьевич                                [0.051358] Иванов Дмитрий Сергеевич (kamikadze_d)                  [0.222961] Гаскаров Алексей Владимирович
[0.258802] Езеев Федор Андреевич                                   [0.029077] Тюрин Андрей Владимирович                               [0.050342] Волкова Александра Ивановна (Женя Отто)                 [0.220672] Крашенинников Федор Геннадиевич
[0.258130] Колесников Сергей Владимирович                          [0.019579] Крылов Константин Анатольевич                           [0.050016] Рыклин Александр Юрьевич                                [0.219810] Бабченко Аркадий Аркадьевич
[0.256157] Демушкин Дмитрий Николаевич                             [0.019555] Давыдов Андрей Владимирович                             [0.049318] Агишев Ирек Абдулхакович                                [0.213806] Иванов Дмитрий Сергеевич (kamikadze_d)
[0.256047] Дровецкий Василий Валерьевич                            [0.019191] Демушкин Дмитрий Николаевич                             [0.048947] Винокуров Александр Иванович                            [0.210213] Шаргунов Сергей Александрович
[0.254824] Артёмов Игорь Владимирович                              [0.017314] Шац Михаил Григорьевич                                  [0.047534] Пономарев Илья Владимирович                             [0.208337] Ляскин Николай Николаевич
[0.254292] Романова Ольга Евгеньевна                               [0.017042] Резчиков (Абанин) Алексей Романович                     [0.047449] Барабаш Кирилл Владимирович                             [0.204873] Колесников Сергей Владимирович
[0.248217] Тюрин Андрей Владимирович                               [0.016681] Колесников Вадим Владимирович                           [0.045730] Бурашников Дмитрий Андреевич                            [0.204419] Завесов Александр Львович
[0.248119] Шалимов Роман Николаевич                                [0.016302] Лазарева Татьяна Юрьевна                                [0.041748] Давыдов Андрей Владимирович                             [0.191423] Коровин Вадим Александрович
[0.238537] Гонгальский Максим Брониславович                        [0.014612] Радченко Всеволод Валерьевич                            [0.039504] Кара-Мурза Владимир Владимирович                        [0.180327] Санников Максим Андреевич
[0.235952] Рыклин Александр Юрьевич                                [0.013321] Васильева Елена Борисовна                               [0.037977] Волкова Елена Ивановна                                  [0.176486] Билунов Денис Борисович
[0.232673] Крашенинников Федор Геннадиевич                         [0.013215] Собчак Ксения Анатольевна                               [0.036262] Газарян Сурен Владимирович                              [0.174187] Кралин Владлен Леонидович (Владимир Тор)
[0.230937] Резчиков (Абанин) Алексей Романович                     [0.011390] Дровецкий Василий Валерьевич                            [0.036176] Бадыкова Фиалка Ахмадеевна                              [0.173528] Лукьянова Елена Анатольевна
