Group size: 13106                                                  Group size: 14154                                                  Group size: 16452                                                  Group size: 17632                                                  Group size: 20347
[0.627936] Навальный Алексей Анатольевич                           [0.323433] Бондарик Николай Николаевич                             [0.847932] Навальный Алексей Анатольевич                           [0.988778] Аверьянов Иван Александрович                            [0.896481] Навальный Алексей Анатольевич
[0.478007] Быков Дмитрий Львович                                   [0.297143] Аитова Екатерина Петровна                               [0.780648] Быков Дмитрий Львович                                   [0.988618] Дегтярь Иван Васильевич                                 [0.862909] Быков Дмитрий Львович
[0.435524] Ашурков Владимир Львович                                [0.229651] Артёмов Игорь Владимирович                              [0.690360] Собчак Ксения Анатольевна                               [0.987155] Скалаух Иван Сергеевич                                  [0.853402] Каспаров Гарри Кимович
[0.433390] Пивоваров Андрей Сергеевич                              [0.222899] Навальный Алексей Анатольевич                           [0.675518] Шац Михаил Григорьевич                                  [0.984550] Барабаш Кирилл Владимирович                             [0.812062] Яшин Илья Валерьевич
[0.431338] Крылов Константин Анатольевич                           [0.198704] Константинов Даниил Ильич                               [0.629249] Лазарева Татьяна Юрьевна                                [0.983806] Лавров Андрей Валерьевич                                [0.763779] Чирикова Евгения Сергеевна
[0.431048] Каспаров Гарри Кимович                                  [0.181311] Гаскаров Алексей Владимирович                           [0.622573] Яшин Илья Валерьевич                                    [0.983651] Виноградов Сергей Николаевич                            [0.759265] Пархоменко Сергей Борисович
[0.414623] Долгих Антон Витальевич                                 [0.176424] Николаев Александр Александрович                        [0.620572] Чирикова Евгения Сергеевна                              [0.982693] Волкова Елена Ивановна                                  [0.743184] Давидис Сергей Константинович
[0.413794] Чирикова Евгения Сергеевна                              [0.167376] Аверьянов Иван Александрович                            [0.595504] Каспаров Гарри Кимович                                  [0.982442] Аникин Сергей Владимирович                              [0.732322] Собчак Ксения Анатольевна
[0.403886] Давидис Сергей Константинович                           [0.161331] Скалаух Иван Сергеевич                                  [0.512453] Гудков Дмитрий Геннадьевич                              [0.982165] Городенцев Андрей Геннадьевич                           [0.721820] Дзядко Филипп Викторович
[0.398600] Соболь Любовь Эдуардовна                                [0.125587] Долгих Антон Витальевич                                 [0.509241] Ашурков Владимир Львович                                [0.981844] Аитова Екатерина Петровна                               [0.709142] Гудков Дмитрий Геннадьевич
[0.375509] Каретникова Анна Георгиевна                             [0.125361] Палчаев Аким Нажмудинович                               [0.508965] Дзядко Филипп Викторович                                [0.981390] Колчинцев Вадим Валерьевич                              [0.705476] Немцов Борис Ефимович
[0.369245] Яшин Илья Валерьевич                                    [0.119602] Рафаилов Георгий Георгиевич                             [0.497107] Пархоменко Сергей Борисович                             [0.981347] Бадыкова Фиалка Ахмадеевна                              [0.683661] Ашурков Владимир Львович
[0.362369] Удальцов Сергей Станиславович                           [0.115984] Давидис Сергей Константинович                           [0.495239] Гудков Геннадий Владимирович                            [0.980915] Вистицкий Михаил Михайлович                             [0.664127] Шац Михаил Григорьевич
[0.360928] Гудков Дмитрий Геннадьевич                              [0.114796] Быков Дмитрий Львович                                   [0.446346] Соболь Любовь Эдуардовна                                [0.979765] Демидов Михаил Александрович                            [0.662691] Гудков Геннадий Владимирович
[0.359709] Лазарева Татьяна Юрьевна                                [0.112893] Пивоваров Андрей Сергеевич                              [0.432628] Адагамов Рустем Ринатович                               [0.979162] Курамшин Владимир Вячеславович                          [0.659705] Романова Ольга Евгеньевна
[0.355251] Аитова Екатерина Петровна                               [0.096655] Собчак Ксения Анатольевна                               [0.430519] Кашин Олег Владимирович                                 [0.978325] Агишев Ирек Абдулхакович                                [0.631096] Илларионов Андрей Николаевич
[0.353157] Собчак Ксения Анатольевна                               [0.094464] Каретникова Анна Георгиевна                             [0.424257] Кац Максим Евгеньевич                                   [0.977786] Василенко Павел Владимирович                            [0.622407] Кара-Мурза Владимир Владимирович
[0.352945] Шац Михаил Григорьевич                                  [0.089526] Завесов Александр Львович                               [0.415958] Романова Ольга Евгеньевна                               [0.977346] Гельфанд Михаил Сергеевич                               [0.608717] Лазарева Татьяна Юрьевна
[0.349680] Константинов Даниил Ильич                               [0.088041] Шелков Павел Николаевич                                 [0.405237] Немцов Борис Ефимович                                   [0.977075] Гаскаров Алексей Владимирович                           [0.601805] Соболь Любовь Эдуардовна
[0.349121] Шелков Павел Николаевич                                 [0.074670] Гудков Дмитрий Геннадьевич                              [0.403034] Гельфанд Михаил Сергеевич                               [0.976630] Левченко Екатерина Валентиновна                         [0.594364] Гельфанд Михаил Сергеевич
[0.345441] Гудков Геннадий Владимирович                            [0.068951] Шац Михаил Григорьевич                                  [0.344430] Илларионов Андрей Николаевич                            [0.975689] Николаев Александр Александрович                        [0.544907] Кашин Олег Владимирович
[0.343725] Царьков Пётр Анатольевич                                [0.068419] Аникин Сергей Владимирович                              [0.327555] Винокуров Александр Иванович                            [0.974663] Бурашников Дмитрий Андреевич                            [0.532115] Пионтковский Андрей Андреевич
[0.335303] Гельфанд Михаил Сергеевич                               [0.068211] Крылов Константин Анатольевич                           [0.320816] Удальцов Сергей Станиславович                           [0.973280] Бондарик Николай Николаевич                             [0.523823] Пивоваров Андрей Сергеевич
