Group size: 10429                                                  Group size: 10831                                                  Group size: 12395                                                  Group size: 15060                                                  Group size: 15400                                                  Group size: 17574
[0.425347] Бондарик Николай Николаевич                             [0.576060] Навальный Алексей Анатольевич                           [0.740782] Навальный Алексей Анатольевич                           [0.925947] Навальный Алексей Анатольевич                           [0.877758] Быков Дмитрий Львович                                   [0.989493] Дегтярь Иван Васильевич
[0.381405] Аитова Екатерина Петровна                               [0.433621] Быков Дмитрий Львович                                   [0.578445] Быков Дмитрий Львович                                   [0.832599] Быков Дмитрий Львович                                   [0.852151] Навальный Алексей Анатольевич                           [0.989220] Аверьянов Иван Александрович
[0.300353] Артёмов Игорь Владимирович                              [0.415995] Крылов Константин Анатольевич                           [0.506924] Собчак Ксения Анатольевна                               [0.822426] Каспаров Гарри Кимович                                  [0.781792] Каспаров Гарри Кимович                                  [0.988513] Скалаух Иван Сергеевич
[0.250012] Константинов Даниил Ильич                               [0.401953] Пивоваров Андрей Сергеевич                              [0.470919] Шац Михаил Григорьевич                                  [0.808473] Яшин Илья Валерьевич                                    [0.757094] Собчак Ксения Анатольевна                               [0.985815] Лавров Андрей Валерьевич
[0.232352] Николаев Александр Александрович                        [0.400443] Ашурков Владимир Львович                                [0.435789] Чирикова Евгения Сергеевна                              [0.771218] Чирикова Евгения Сергеевна                              [0.749935] Пархоменко Сергей Борисович                             [0.985180] Барабаш Кирилл Владимирович
[0.229479] Гаскаров Алексей Владимирович                           [0.399403] Долгих Антон Витальевич                                 [0.429748] Лазарева Татьяна Юрьевна                                [0.740194] Гудков Дмитрий Геннадьевич                              [0.749839] Яшин Илья Валерьевич                                    [0.984280] Виноградов Сергей Николаевич
[0.225359] Аверьянов Иван Александрович                            [0.388426] Каспаров Гарри Кимович                                  [0.422401] Яшин Илья Валерьевич                                    [0.716683] Ашурков Владимир Львович                                [0.746292] Дзядко Филипп Викторович                                [0.983673] Волкова Елена Ивановна
[0.216635] Скалаух Иван Сергеевич                                  [0.379326] Давидис Сергей Константинович                           [0.393516] Каспаров Гарри Кимович                                  [0.716272] Давидис Сергей Константинович                           [0.722226] Шац Михаил Григорьевич                                  [0.983380] Городенцев Андрей Геннадьевич
[0.169129] Палчаев Аким Нажмудинович                               [0.368159] Каретникова Анна Георгиевна                             [0.368134] Гудков Дмитрий Геннадьевич                              [0.709006] Собчак Ксения Анатольевна                               [0.717138] Чирикова Евгения Сергеевна                              [0.983240] Колчинцев Вадим Валерьевич
[0.160342] Рафаилов Георгий Георгиевич                             [0.366429] Соболь Любовь Эдуардовна                                [0.347313] Гудков Геннадий Владимирович                            [0.692884] Гудков Геннадий Владимирович                            [0.696025] Лазарева Татьяна Юрьевна                                [0.983095] Аникин Сергей Владимирович
[0.147970] Долгих Антон Витальевич                                 [0.363782] Чирикова Евгения Сергеевна                              [0.300255] Ашурков Владимир Львович                                [0.684456] Пархоменко Сергей Борисович                             [0.636868] Романова Ольга Евгеньевна                               [0.982090] Аитова Екатерина Петровна
[0.133531] Давидис Сергей Константинович                           [0.361723] Аитова Екатерина Петровна                               [0.261418] Удальцов Сергей Станиславович                           [0.650094] Немцов Борис Ефимович                                   [0.626186] Гельфанд Михаил Сергеевич                               [0.981975] Бадыкова Фиалка Ахмадеевна
[0.121396] Пивоваров Андрей Сергеевич                              [0.345124] Шелков Павел Николаевич                                 [0.259671] Немцов Борис Ефимович                                   [0.649422] Дзядко Филипп Викторович                                [0.624757] Ашурков Владимир Львович                                [0.981731] Вистицкий Михаил Михайлович
[0.109425] Каретникова Анна Георгиевна                             [0.344341] Константинов Даниил Ильич                               [0.258147] Кац Максим Евгеньевич                                   [0.643694] Шац Михаил Григорьевич                                  [0.618365] Гудков Дмитрий Геннадьевич                              [0.981211] Демидов Михаил Александрович
[0.104823] Шелков Павел Николаевич                                 [0.334916] Бабченко Аркадий Аркадьевич                             [0.252907] Пархоменко Сергей Борисович                             [0.623326] Соболь Любовь Эдуардовна                                [0.614755] Немцов Борис Ефимович                                   [0.980828] Курамшин Владимир Вячеславович
[0.104449] Завесов Александр Львович                               [0.332953] Лазарева Татьяна Юрьевна                                [0.250851] Кашин Олег Владимирович                                 [0.622836] Удальцов Сергей Станиславович                           [0.593371] Кара-Мурза Владимир Владимирович                        [0.979226] Агишев Ирек Абдулхакович
[0.104289] Навальный Алексей Анатольевич                           [0.324129] Гельфанд Михаил Сергеевич                               [0.247000] Дзядко Филипп Викторович                                [0.590042] Пивоваров Андрей Сергеевич                              [0.579977] Илларионов Андрей Николаевич                            [0.978896] Василенко Павел Владимирович
[0.094422] Аникин Сергей Владимирович                              [0.322637] Царьков Пётр Анатольевич                                [0.246905] Адагамов Рустем Ринатович                               [0.589155] Романова Ольга Евгеньевна                               [0.576928] Гудков Геннадий Владимирович                            [0.978784] Левченко Екатерина Валентиновна
[0.092251] Агишев Ирек Абдулхакович                                [0.317146] Удальцов Сергей Станиславович                           [0.230351] Соболь Любовь Эдуардовна                                [0.566709] Лазарева Татьяна Юрьевна                                [0.576911] Соболь Любовь Эдуардовна                                [0.978529] Гельфанд Михаил Сергеевич
